0,nan,nan,nan
10,2.42197,1.93299,1.61982
20,4.12526,2.15975,0.952878
30,5.35832,1.86368,0.790778
40,5.02798,1.90743,0.59168
50,5.59735,1.83692,0.663782
60,7.874,1.83029,0.547669
70,7.49261,2.3108,0.533309
80,7.65405,1.80429,0.285127
90,8.07482,1.91988,0.402129
100,7.66743,1.90539,0.330148
110,8.57068,1.66249,0.288436
120,7.83907,1.90254,0.289672
130,8.04268,1.99748,0.290289
140,8.42852,1.90832,0.257532
150,8.70934,1.96153,0.291028
160,7.82014,1.64017,0.291216
170,8.7194,1.60013,0.257541
180,8.87458,1.75783,0.308879
190,8.43282,1.95155,0.266511
200,8.32168,1.6174,0.270334
210,8.21205,1.95241,0.273799
220,9,2.0778,0.276956
230,10.0307,1.78332,0.279843
240,8.95012,1.69745,0.33359
250,9.75836,1.96324,0.328026
260,8.70077,2.1053,0.297935
270,8.04232,1.91626,0.289296
280,8.63471,1.89079,0.291247
290,9.05858,1.87172,0.293065
300,8.66834,1.76933,0.294767
310,9.35244,1.92374,0.29636
320,9.77092,1.96449,0.297856
330,8.96862,1.98469,0.299265
340,10.4946,1.73623,0.300592
350,9.61844,1.73713,0.301845
360,8.30068,2.26956,0.30303
370,8.62354,1.9387,0.304153
380,9.85864,1.84619,0.305219
390,9.66671,1.586,0.306231
400,9.55194,1.87277,0.307193
410,9.97442,1.85708,0.308111
420,9.31761,1.96581,0.308985
430,9.01076,1.763,0.30982
440,9.42974,1.73496,0.310618
450,9.69201,1.74188,0.311381
460,10.3045,1.9073,0.312112
470,8.99923,1.67827,0.312812
480,9.38331,1.80359,0.313484
490,8.55563,1.63071,0.31413
500,9.5789,1.58804,0.31475
510,9.53587,1.58846,0.315346
520,9.20122,1.63647,0.31592
530,8.90065,1.93973,0.316473
540,9.30789,2.11178,0.317006
550,9.13407,1.71312,0.31752
560,9.14164,1.71296,0.318016
570,9.28293,1.9305,0.318495
580,9.57656,1.68016,0.318958
590,10.0548,1.8875,0.319406
600,9.3119,1.6102,0.319839
610,9.47019,1.77801,0.320257
620,10.0124,1.7271,0.320663
630,9.47988,1.80968,0.321057
640,9.70116,1.5095,0.321438
650,9.38176,1.57157,0.321808
660,8.96094,1.9988,0.322167
670,9.84037,1.7588,0.322515
680,9.73075,1.88339,0.322854
690,10.1856,1.77717,0.323182
700,9.71798,1.94241,0.323502
710,9.6824,1.4549,0.323812
720,9.77982,1.65011,0.324114
730,10.7781,1.66299,0.324408
740,10.1339,1.76247,0.324695
750,9.37176,1.71621,0.324974
760,10.1019,1.68151,0.325245
770,9.60088,1.83495,0.32551
780,9.64271,1.69423,0.325768
790,10.1785,1.72701,0.32602
800,9.29915,1.70646,0.326265
810,10.2285,2.09232,0.326504
820,9.28412,1.95771,0.326738
830,9.68992,1.8102,0.326966
840,9.72092,1.97054,0.327189
850,9.93279,2.24851,0.327407
860,9.40296,1.85323,0.32762
870,9.87025,2.24857,0.327827
880,10.3221,2.17057,0.328031
890,9.77662,1.92394,0.328229
900,9.25214,2.24867,0.328424
910,10.3832,2.2487,0.328614
920,10.0495,2.24873,0.3288
930,9.53653,2.09266,0.328982
940,9.8054,2.24879,0.32916
950,10.1519,2.24881,0.329335
960,9.79084,2.19656,0.329506
970,9.69206,2.35274,0.329674
980,9.36403,1.8415,0.329838
990,8.92645,1.84633,0.329999
